iter	Passed	Remaining
0	2	202
1	3	183
2	5	171
3	6	162
4	8	163
5	10	161
6	11	157
7	13	155
8	15	153
9	16	150
10	18	149
11	20	147
12	21	146
13	23	144
14	25	143
15	26	141
16	28	139
17	30	138
18	32	136
19	33	135
20	35	132
21	36	129
22	37	126
23	39	124
24	40	121
25	41	118
26	42	115
27	43	112
28	44	110
29	46	107
30	46	104
31	48	102
32	48	99
33	49	96
34	50	94
35	51	92
36	52	89
37	53	87
38	54	85
39	55	83
40	56	81
41	56	78
42	57	76
43	58	74
44	59	72
45	60	71
46	61	69
47	62	67
48	63	66
49	64	64
50	65	62
51	66	61
52	67	59
53	67	57
54	68	56
55	69	54
56	70	53
57	71	51
58	72	50
59	73	48
60	74	47
61	74	45
62	75	44
63	76	43
64	77	41
65	78	40
66	79	39
67	80	37
68	81	36
69	82	35
70	83	34
71	84	32
72	85	31
73	86	30
74	87	29
75	88	27
76	88	26
77	89	25
78	90	24
79	91	22
80	92	21
81	93	20
82	94	19
83	95	18
84	96	16
85	97	15
86	98	14
87	98	13
88	99	12
89	100	11
90	101	10
91	102	8
92	103	7
93	104	6
94	105	5
95	106	4
96	106	3
97	107	2
98	108	1
99	109	0
